date,BA,x,sudo,chch,honam,gb,gn,gangwon,jeju
2021-12-02,0.2 ,1,0.2 ,0.0 ,0.0 ,0,0.0 ,0,0
2021-12-08,1.1 ,7,1.1 ,0.0 ,0.0 ,0,0.0 ,0,0
2021-12-15,1.7,14,1.7,0,1.7,0,0,0,0
2021-12-22,1.8,21,1.8,1,1.8,1,1,1,1
2021-12-29,4,28,4,2,30,20,2,20,5
2022-01-05,12.5,35,18,17,50,30,9,30,8
2022-01-12,26.7,42,55,48,80,50,37,58,13
2022-01-19,50.3,49,80,82,84,82,70,70,80
2022-01-26,80,56,90,92,90,95,94,92,92
2022-02-03,92.1,64,93,93,92.1,96,92.1,92.1,92.1
2022-02-10,96.9,71,96.9,96.9,96.9,98.9,96.9,96.9,96.9
2022-02-17,98.9,78,98.9,98.9,98.9,99.6,98.9,98.9,98.9
2022-02-24,99.6,85,99.6,99.6,99.6,99.96,99.6,99.6,99.6
2022-03-03,99.96,92,99.96,99.96,99.96,99.98,99.96,99.96,99.96
2022-03-10,99.98,99,99.98,99.98,99.98,99.99,99.98,99.98,99.98
2022-03-17,99.99,106,99.99,99.99,99.99,99.99,99.99,99.99,99.99
2022-03-24,100,113,100,100,100,100,100,100,100
2022-03-30,100,119,100,100,100,100,100,100,100
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
